filename,L2_Windowed_VUS-PR,L2_Raw_VUS-PR,L2_Windowed_VUS-ROC,L2_Windowed_AUC-PR,L2_Windowed_AUC-ROC,L2_Windowed_Affiliation-F,L2_Windowed_R-based-F1,L2_Windowed_Event-based-F1,L2_Windowed_PA-F1,L2_Windowed_Standard-F1,L2_Windowed_runtime,L2_Windowed_FP_count_ext,L2_Windowed_FN_count_ext,L2_Raw_VUS-ROC,L2_Raw_AUC-PR,L2_Raw_AUC-ROC,L2_Raw_Affiliation-F,L2_Raw_R-based-F1,L2_Raw_Event-based-F1,L2_Raw_PA-F1,L2_Raw_Standard-F1,L2_Raw_runtime,L2_Raw_FP_count_ext,L2_Raw_FN_count_ext
014_MSL_id_13_Sensor_tr_1525_1st_4575.csv,0.9711413541626864,0.1397818376104315,0.9991540571986036,0.966413235096382,0.9987324273642608,0.9997925482234784,0.9289940828402368,0.9999999999999996,1.0,0.916162699836866,1.289470911026001,2769,0,0.776395154005992,0.0971661308656698,0.6264352366524508,0.8798911817977652,0.2225064918887324,0.4878048780487801,0.989071038251366,0.2254500459740971,0.0111382007598876,2859,95
015_MSL_id_14_Sensor_tr_575_1st_1250.csv,0.5940113771917257,0.1389818494648329,0.894995289997211,0.5421985901226845,0.8548179395355474,0.9787828018752184,0.435696712144934,0.9999999999999996,1.0,0.5342424198108934,0.2887866497039795,843,49,0.4554160229246403,0.121668029371559,0.4083723585384715,0.963461115754814,0.3370165745856354,0.9999999999999996,1.0,0.2313009555088616,0.0074884891510009,1008,215
016_MSL_id_15_Sensor_tr_500_1st_780.csv,0.5973929342054236,0.2664636993030085,0.955251589433372,0.450148555065148,0.936637993612079,0.9744020237479966,0.6309129161955961,0.7482993197278907,0.8853754940711462,0.659927962032786,0.0810904502868652,386,2,0.6644500589020318,0.2097820942727316,0.601612405632985,0.8554329027967087,0.2832478915164544,0.5714285714285711,0.9256198347107438,0.3876601991756454,0.0056698322296142,482,104
017_MSL_id_16_Sensor_tr_512_1st_1850.csv,0.6739844581178083,0.2882171488603556,0.9448868963236204,0.534260555655055,0.9321370686289588,0.9780251360146706,0.6672208456558228,0.9010989010989006,0.9526315789473684,0.586315060507579,0.2163565158843994,801,1,0.8467415555529466,0.2577764101977185,0.800770759638932,0.7799268311533277,0.516605455148038,0.4999999999999996,0.9945054945054944,0.46344452934301,0.0069508552551269,786,33
018_Daphnet_id_1_HumanActivity_tr_9693_1st_20732.csv,0.1435200601269157,0.1559932283850958,0.764001803831027,0.126384953140716,0.7777704705837698,0.7762981589323106,0.4262420692973225,0.2563594317806405,0.5291938613512083,0.2403313925194209,1.3854002952575684,16518,0,0.7698850392089418,0.1405411046031811,0.74787286333842,0.9039113136372426,0.2735168722379104,0.6116207951070332,0.9732010972779068,0.2338401715951246,0.0136859416961669,16570,52
019_MITDB_id_1_Medical_tr_37500_1st_103211.csv,0.2564385186546382,0.1854399793703386,0.725229001634035,0.253274915057612,0.723863698276098,0.8633595300818184,0.3136918104732416,0.5452792145174011,0.9392111837290872,0.3815877261164184,1.1925907135009766,61072,4782,0.6437534632547474,0.1857523523626767,0.6420069848782163,0.9173216823388414,0.2992576198648191,0.6581469648562295,0.9996776966050708,0.2729902863627808,0.0173628330230712,62172,5887
020_MITDB_id_2_Medical_tr_50000_1st_52315.csv,0.0132415873977724,0.0042593534845936,0.7243585283560514,0.0152058136910537,0.7043510925086589,0.66704258062883,0.24870900209351,0.1027376191940939,0.2712034025519139,0.0973386961696392,5.332433700561523,324257,504,0.68583353668382,0.0175058889636207,0.6450984111147596,0.6913587410478943,0.187897024406553,0.6666666666666662,0.6821900566393958,0.0461058039857529,0.0512416362762451,324118,368
021_MITDB_id_3_Medical_tr_50000_1st_57595.csv,0.0171852143155972,0.017879777777686,0.4477987557763462,0.0456677024651801,0.4309774255295445,0.6740183096439346,0.5016880799123296,0.1999999999999998,0.1267276206676589,0.0685242156601853,4.019287586212158,246178,6788,0.4803588768733819,0.0164470618750567,0.4341560055487566,0.6916084207692338,0.0539915282758779,0.1764705882352938,0.8678645253617427,0.0346294822283148,0.0418381690979003,245614,6224
022_MITDB_id_4_Medical_tr_50000_1st_54253.csv,0.0871400232804161,0.051405623084624,0.5647161202105503,0.1043265146759271,0.5275589289657634,0.817252890780773,0.1356325685103391,0.3455527686667948,0.6750320832739198,0.1640029723122859,2.4818050861358643,141838,7631,0.5361240157538067,0.0463088463797205,0.4968945829521541,0.8305749356415838,0.0891914150139146,0.1962616822429903,0.704367045194726,0.0886593041614634,0.0271518230438232,142898,8710
024_MITDB_id_6_Medical_tr_50000_1st_58118.csv,0.2043641032630312,0.0137637814330653,0.8049242412859821,0.672996788530337,0.8006700097626985,0.999946101911016,0.8456507521255723,0.9999999999999996,1.0,0.7993149292828224,1.6507880687713623,99748,201,0.7754950800129001,0.1268641028093849,0.7358468007648229,0.9996715316623916,0.3969118982742961,0.9999999999999996,1.0,0.2166227142030361,0.0202155113220214,99568,68
025_MITDB_id_7_Medical_tr_37500_1st_88864.csv,0.4216357006312366,0.1421475318251928,0.946616176920702,0.4142060977802318,0.9167818052691328,0.960966614561562,0.7015529139848545,0.6145150077078857,0.7907737608375593,0.524566601461099,1.2390353679656982,71128,424,0.8445882021052263,0.1507144949330473,0.8158585223899568,0.9332539302125912,0.2643092089641706,0.8045977011494247,0.9955555555555556,0.2503002240168455,0.0180044174194335,71427,770
026_MITDB_id_8_Medical_tr_30495_1st_30595.csv,0.4506272859482418,0.1163198479325639,0.7097176621186384,0.4649576847459443,0.6778103842504511,0.934423541645729,0.5898168900251677,0.9311912700818424,0.965465436545388,0.5130932914188273,3.2753047943115234,181562,12595,0.6268260304753146,0.1115045591171071,0.5801817874777064,0.9085274220414596,0.272226968259847,0.7443076070169875,0.9765749200329444,0.1669557558101297,0.0360410213470459,182447,13548
027_MITDB_id_9_Medical_tr_25000_1st_52255.csv,0.0177949968333898,0.0105070092151719,0.8241206083984933,0.0145712329617972,0.8010246144094924,0.854715814035099,0.1441650548033527,0.0717539863325739,0.3957952468007312,0.0619019160070034,0.8263320922851562,49473,6,0.7135851720441251,0.0085992293023321,0.6365715395236432,0.8110446519985077,0.0225702946271296,0.0312284730195177,0.5855307640297498,0.030416491620806,0.0130600929260253,49593,126
