iter	MultiClass
416	0.1377324175
417	0.1372646121
418	0.1368372235
419	0.1360340171
420	0.1356782776
421	0.1350945153
422	0.1345698288
423	0.1341056284
424	0.1338450182
425	0.1334725458
426	0.1330777667
427	0.132592212
428	0.1320642651
429	0.1317140793
430	0.1310873014
431	0.1304785503
432	0.1299964449
433	0.1295494651
434	0.1291602413
435	0.1286759791
436	0.1281604407
437	0.1276574934
438	0.127146467
439	0.1265567252
440	0.1260622194
441	0.1256046677
442	0.1249715211
443	0.1245775567
444	0.123991337
445	0.1235891107
446	0.1230296224
447	0.1225887239
448	0.1220351679
449	0.1217236901
450	0.1213700641
451	0.1211242699
452	0.120647747
453	0.1201391987
454	0.1195552766
455	0.1192106513
456	0.1188070542
457	0.1183106235
458	0.1179817239
459	0.1176597433
460	0.1173399329
461	0.116959524
462	0.1166124519
463	0.1161484941
464	0.1157652936
465	0.1152973704
466	0.1147831407
467	0.1143686394
468	0.1140894685
469	0.1136361752
470	0.1131889497
471	0.1127448107
472	0.1125289016
473	0.112166209
474	0.1117764891
475	0.1112728214
476	0.1107702956
477	0.1104116983
478	0.109940075
479	0.1097481065
480	0.1093781427
481	0.1089639897
482	0.1085627612
483	0.1081248125
484	0.1077593665
485	0.1074110373
486	0.1070716194
487	0.1068583564
488	0.1064296415
489	0.1060982003
490	0.1056200233
491	0.1052548738
492	0.1049206157
493	0.1045882184
494	0.1043141572
495	0.1039585728
496	0.1035628668
497	0.1031680571
498	0.1028034874
499	0.102511514
