file,Time,AUC-PR,AUC-ROC,VUS-PR_my,VUS-ROC_my,Standard-F1,PA-F1,Event-based-F1,R-based-F1,Affiliation-F,VUS-PR_bench,VUS-ROC_bench,VUS-PR_Improvement,VUS-ROC_Improvement
005_NAB_id_5_Traffic_tr_594_1st_1645.csv,1.2666726112365725,0.1377852288603964,0.4546037938762614,0.1428707109297674,0.4575166792428352,0.2835004119190696,0.8670309653916212,0.536585365853658,0.4172380019588638,0.8377186383526548,0.14287,0.45752,7.109297674168236e-07,-3.320757164804178e-06
006_NAB_id_6_Traffic_tr_2579_1st_5839.csv,4.358517408370972,0.3608434838683485,0.6913351944621835,0.3347878807126856,0.7204251582628023,0.3676212347261288,0.8378240976105745,0.7399999999999994,0.4253138611324622,0.8222871985847479,0.33479,0.72043,-2.1192873143616175e-06,-4.84173719772496e-06
007_NAB_id_7_Traffic_tr_624_1st_2087.csv,1.3407599925994873,0.8957281903309015,0.9257113325976984,0.9479701863773058,0.9818913191821386,0.9078897753425956,1.0,0.9999999999999996,0.9273356401384084,0.9971793966720928,0.94797,0.98189,1.8637730581083645e-07,1.3191821385261093e-06
008_NAB_id_8_Synthetic_tr_1007_1st_2734.csv,2.1543121337890625,0.7909511323832239,0.8387958252276781,0.8207645051284979,0.8723470232015436,0.7989226441956824,1.0,0.9999999999999996,0.8280404003779256,0.9924852638731412,0.82076,0.87235,4.505128497811484e-06,-2.976798456399976e-06
009_NAB_id_9_Traffic_tr_500_1st_438.csv,1.1705224514007568,0.7017558846994189,0.8075192802056556,0.7419455452864032,0.8615633419130465,0.7142811224784984,1.0,0.9999999999999996,0.7837837837837839,0.9913892016050436,0.74195,0.86156,-4.454713596779847e-06,3.3419130465173197e-06
010_NAB_id_10_WebService_tr_500_1st_271.csv,0.7226002216339111,0.231881429267755,0.7055537051135643,0.4350493730596725,0.7512624768741588,0.4270952653940666,0.4340175953079179,0.4283604135893645,0.6976308446145596,0.8795990077348965,0.43505,0.75126,-6.269403274861141e-07,2.4768741587744003e-06
011_NAB_id_11_Facility_tr_1007_1st_1526.csv,1.919539451599121,0.8363079396674221,0.9151669792374696,0.8794009447402503,0.94774818427426,0.8267278234036103,1.0,0.9999999999999996,0.6503416856492028,0.9981821775803296,0.8794,0.94775,9.447402503637292e-07,-1.8157257399842308e-06
012_NAB_id_12_Synthetic_tr_1007_1st_2787.csv,1.9321722984313965,0.0879896924708875,0.2688091430648506,0.137019248543189,0.4093821101800715,0.2257902505270689,0.996116504854369,0.6249999999999994,0.2935830349765905,0.9106221008793453,0.13702,0.40938,-7.514568109989739e-07,2.110180071457357e-06
013_NAB_id_13_Traffic_tr_623_1st_2084.csv,1.3309283256530762,0.9358991457294418,0.969330781604573,0.9921027626639102,0.9977867166245205,0.9193850107302252,1.0,0.9999999999999996,0.9347079037800688,0.998375042291301,0.9921,0.99779,2.7626639101940853e-06,-3.283375479501416e-06
014_NAB_id_14_WebService_tr_500_1st_1045.csv,1.120675563812256,0.6874015189249708,0.777142314269428,0.6903273037850202,0.7912568886149614,0.7540936630230828,1.0,0.9999999999999996,0.8125000000000001,0.9961284445456612,0.69033,0.79126,-2.6962149798359647e-06,-3.111385038612191e-06
015_NAB_id_15_Synthetic_tr_1007_1st_2787.csv,1.8940846920013428,0.0875071530838172,0.2833337212021273,0.1308578514086776,0.4165214118949403,0.2257902505270689,0.994186046511628,0.5882352941176466,0.2942479950647749,0.9077784298300536,0.13086,0.41652,-2.148591322415072e-06,1.4118949402952552e-06
016_NAB_id_16_Environment_tr_1816_1st_3540.csv,3.1985785961151123,0.2487592835530643,0.6846760245316704,0.2580084366160728,0.6897458368890477,0.4419841503283706,0.7925561029009305,0.5383580080753697,0.355070283370663,0.730516350841767,0.25801,0.68975,-1.5633839272055639e-06,-4.163110952304372e-06
017_NAB_id_17_Synthetic_tr_1007_1st_1805.csv,47.6489851474762,0.3717355741245773,0.5952395640973966,0.3746769513835301,0.6295412795648235,0.4266111252901689,1.0,0.9999999999999996,0.5884831460674157,0.9865509245868004,0.37468,0.62954,-3.0486164699361495e-06,1.2795648235419677e-06
018_NAB_id_18_Facility_tr_500_1st_669.csv,2.1081674098968506,0.0707267753295429,0.3417859521685036,0.1025098156567428,0.426356388344284,0.1905710077584954,0.292834890965732,0.189204229271007,0.2679723436398952,0.6709752818443531,0.10251,0.42636,-1.843432572007364e-07,-3.611655715995976e-06
019_NAB_id_19_Facility_tr_1007_1st_1171.csv,2.1291403770446777,0.529049656240477,0.7943755163866703,0.5274172476460959,0.7969596277660832,0.5220416997490892,1.0,0.9999999999999996,0.6431478968792402,0.9882939950613162,0.52742,0.79696,-2.752353904122984e-06,-3.722339168010791e-07
020_NAB_id_20_Synthetic_tr_1007_1st_2679.csv,1.909533977508545,0.1413591078659591,0.3793049711703288,0.2102909567135818,0.4763775739481264,0.2669796298476184,0.9936,0.7222222222222218,0.3175070543491595,0.9407432116313452,0.21029,0.47638,9.567135818011607e-07,-2.4260518736163306e-06
021_NAB_id_21_WebService_tr_500_1st_565.csv,0.990532398223877,0.3548076518629904,0.7121966848940535,0.2750990483743884,0.6867640590253831,0.3999956541893615,0.6666666666666666,0.6666666666666662,0.4660756312930226,0.8509810292559786,0.2751,0.68676,-9.516256115893462e-07,4.059025383029713e-06
022_NAB_id_22_Facility_tr_1007_1st_2980.csv,1.909608602523804,0.704732097562257,0.9196245864645182,0.8218338336221066,0.9607588641305704,0.6614397795858388,1.0,0.9999999999999996,0.5712067474714584,0.953974222681648,0.82183,0.96076,3.833622106652612e-06,-1.135869429513825e-06
023_NAB_id_23_Facility_tr_4512_1st_16551.csv,7.3891761302948,0.439694274203797,0.8051286878869932,0.4495815895971811,0.805625595363374,0.6023479414671049,0.9973368841544608,0.8405315614617934,0.356201349247535,0.912103240323065,0.44958,0.80563,1.5895971811064058e-06,-4.404636625987557e-06
024_NAB_id_24_Synthetic_tr_1007_1st_2787.csv,1.9199566841125488,0.4903841274842064,0.6167019627269171,0.5276503689974668,0.7069545449445181,0.569033585575601,1.0,0.9999999999999996,0.6812339331619538,0.9882448894918818,0.52765,0.70695,3.6899746680418843e-07,4.544944518181104e-06
