file,Best_Baseline_Algo,Best_Baseline_Score,Best_TSPulse_Algo,Best_TSPulse_Score,TSPulse_ZS_ensemble,TSPulse2,Diff_TSPulse2_vs_Baseline,Diff_ZS_vs_Baseline,Diff_TSPulse2_vs_Best_TSPulse,Diff_TSPulse2_vs_Ensemble
302_Power_id_1_Facility_tr_7685_1st_7785,KMeansAD,0.392133590197686,TSPulse_ZS_time,0.699017,0.303696,0.713381,0.32124740980231403,0.306883409802314,0.014364000000000043,0.409685
027_NAB_id_27_Facility_tr_757_1st_2582,POLY,0.6784803541066893,TSPulse_ZS_ensemble,0.824804,0.824804,0.984702,0.3062216458933107,0.1463236458933107,0.15989799999999998,0.15989799999999998
500_UCR_id_198_Facility_tr_7482_1st_23357,AutoEncoder,0.1858905821373813,TSPulse_ZS_time,0.816383,0.074737,0.481709,0.2958184178626187,0.6304924178626187,-0.33467399999999997,0.406972
025_NAB_id_25_WebService_tr_3958_1st_4614,AutoEncoder,0.2580160109980728,TSPulse_ZS_fft,0.94213,0.252663,0.535128,0.27711198900192724,0.6841139890019272,-0.407002,0.282465
005_NAB_id_5_Traffic_tr_594_1st_1645,SAND,0.2896035987628442,TSPulse_ZS_fft,0.5365,0.043135,0.557555,0.26795140123715583,0.24689640123715578,0.021055000000000046,0.51442
206_SMD_id_29_Facility_tr_6250_1st_21230,MOMENT (FT),0.5742422599980065,TSPulse_ZS_time,0.978333,0.821315,0.83185,0.2576077400019935,0.4040907400019935,-0.14648300000000003,0.010534999999999961
532_SMAP_id_2_Sensor_tr_2075_1st_5550,POLY,0.6506561590598718,TSPulse_ZS_fft,0.557762,0.226655,0.903269,0.25261284094012815,-0.09289415905987186,0.345507,0.676614
172_MITDB_id_3_Medical_tr_27274_1st_27374,MatrixProfile,0.7391017847915079,TSPulse_ZS_future,0.993874,0.096165,0.991071,0.25196921520849214,0.25477221520849214,-0.002803,0.894906
530_UCR_id_228_HumanActivity_tr_16250_1st_38500,LOF,0.1140142231481119,TSPulse_ZS_fft,0.930988,0.862088,0.359975,0.2459607768518881,0.8169737768518881,-0.571013,-0.502113
228_MGAB_id_4_Synthetic_tr_25000_1st_38948,Sub-LOF,0.395803816006758,TSPulse_ZS_ensemble,0.869579,0.869579,0.635221,0.23941718399324202,0.473775183993242,-0.23435799999999996,-0.23435799999999996
178_SMD_id_1_Facility_tr_6000_1st_10609,KMeansAD,0.279916504274691,TSPulse_ZS_fft,0.847395,0.29444,0.514678,0.23476149572530897,0.567478495725309,-0.33271700000000004,0.220238
254_SVDB_id_18_Medical_tr_30824_1st_30924,KShapeAD,0.7627839528336958,TSPulse_ZS_future,0.438656,0.210881,0.98709,0.2243060471663042,-0.32412795283369583,0.5484340000000001,0.776209
187_SMD_id_10_Facility_tr_5000_1st_15849,POLY,0.5031004764172533,TSPulse_ZS_time,0.960123,0.532677,0.723061,0.21996052358274665,0.45702252358274664,-0.237062,0.190384
346_UCR_id_44_Medical_tr_7456_1st_17390,AutoEncoder,0.6460463786446082,TSPulse_ZS_fft,0.912366,0.389962,0.850986,0.2049396213553918,0.2663196213553918,-0.06137999999999999,0.46102400000000004
276_IOPS_id_17_WebService_tr_19197_1st_19297,IForest,0.489406903384516,TSPulse_ZS_ensemble,0.86604,0.86604,0.69374,0.20433309661548404,0.37663309661548405,-0.1723,-0.1723
693_YAHOO_id_143_WebService_tr_500_1st_1003,TimesFM,0.607595612992985,TSPulse_ZS_ensemble,0.85543,0.85543,0.810946,0.2033503870070149,0.247834387007015,-0.04448400000000008,-0.04448400000000008
266_IOPS_id_7_WebService_tr_4010_1st_4110,Sub-PCA,0.620051205470651,TSPulse_ZS_time,0.960853,0.154387,0.821573,0.20152179452934904,0.340801794529349,-0.13927999999999996,0.6671860000000001
001_NAB_id_1_Facility_tr_1007_1st_2014,MOMENT (FT),0.5736119643477883,TSPulse_ZS_ensemble,0.921282,0.921282,0.77359,0.19997803565221173,0.3476700356522118,-0.14769200000000005,-0.14769200000000005
249_SVDB_id_13_Medical_tr_50000_1st_54982,KShapeAD,0.6708463662241089,TSPulse_ZS_fft,0.945221,0.895983,0.859409,0.1885626337758911,0.2743746337758911,-0.085812,-0.036573999999999995
459_UCR_id_157_HumanActivity_tr_50000_1st_110260,Series2Graph,0.0657155509809346,TSPulse_ZS_time,0.996154,0.670396,0.252625,0.1869094490190654,0.9304384490190654,-0.743529,-0.417771
334_UCR_id_32_HumanActivity_tr_1671_1st_2764,AutoEncoder,0.4440186895809856,TSPulse_ZS_time,0.962804,0.161331,0.629173,0.18515431041901437,0.5187853104190143,-0.333631,0.467842
807_YAHOO_id_257_WebService_tr_500_1st_1210,OmniAnomaly,0.7360318531918502,TSPulse_ZS_fft,0.505022,0.143523,0.913493,0.17746114680814984,-0.2310098531918502,0.40847100000000003,0.76997
233_MGAB_id_9_Synthetic_tr_25000_1st_41300,MatrixProfile,0.6765731222735989,TSPulse_ZS_fft,0.889491,0.214452,0.852244,0.1756708777264011,0.21291787772640114,-0.03724700000000003,0.637792
430_UCR_id_128_HumanActivity_tr_12500_1st_46500,Sub-LOF,0.0255739647878307,TSPulse_ZS_ensemble,0.975045,0.975045,0.200291,0.1747170352121693,0.9494710352121694,-0.774754,-0.774754
196_SMD_id_19_Facility_tr_7174_1st_21230,MOMENT (FT),0.7747104645871684,TSPulse_ZS_future,0.908472,0.20201,0.946638,0.17192753541283157,0.13376153541283153,0.03816600000000003,0.744628
319_UCR_id_17_Environment_tr_6166_1st_19280,MOMENT (FT),0.6505947929029265,TSPulse_ZS_time,0.603034,0.379729,0.812656,0.1620612070970735,-0.047560792902926585,0.20962200000000009,0.43292700000000006
197_SMD_id_20_Facility_tr_5000_1st_15144,Sub-PCA,0.7578887675575475,TSPulse_ZS_future,0.928779,0.87649,0.910742,0.15285323244245252,0.1708902324424525,-0.01803699999999997,0.03425200000000006
060_WSD_id_32_WebService_tr_4576_1st_4766,POLY,0.7732967255839862,TSPulse_ZS_ensemble,0.872938,0.872938,0.914705,0.14140827441601378,0.09964127441601378,0.041767,0.041767
797_YAHOO_id_247_Synthetic_tr_500_1st_893,MatrixProfile,0.6424514186720082,TSPulse_ZS_future,0.895662,0.542395,0.777995,0.13554358132799182,0.2532105813279918,-0.11766699999999997,0.23560000000000003
049_WSD_id_21_WebService_tr_4297_1st_7097,POLY,0.3570837589439196,TSPulse_ZS_ensemble,0.624584,0.624584,0.492104,0.1350202410560804,0.26750024105608045,-0.13248000000000004,-0.13248000000000004
269_IOPS_id_10_WebService_tr_1216_1st_1728,Sub-PCA,0.7220432862126581,TSPulse_ZS_time,0.803781,0.652492,0.844521,0.12247771378734185,0.08173771378734185,0.04074,0.192029
437_UCR_id_135_Medical_tr_2499_1st_8000,KMeansAD,0.8410089742810288,TSPulse_ZS_fft,0.655523,0.608365,0.939079,0.09807002571897117,-0.18548597428102886,0.28355600000000003,0.33071399999999995
516_UCR_id_214_HumanActivity_tr_2108_1st_4702,Series2Graph,0.4525542542373488,TSPulse_ZS_future,0.52069,0.500592,0.549112,0.09655774576265125,0.06813574576265119,0.02842200000000006,0.04852000000000001
099_WSD_id_71_WebService_tr_4559_1st_14411,POLY,0.5943131271311933,TSPulse_ZS_fft,0.922435,0.63813,0.689986,0.09567287286880666,0.3281218728688067,-0.23244900000000002,0.05185600000000001
202_SMD_id_25_Facility_tr_6250_1st_21230,MOMENT (FT),0.5794588451638452,TSPulse_ZS_time,0.679064,0.411844,0.670944,0.09148515483615483,0.09960515483615484,-0.008120000000000016,0.2591
