file,Best_Baseline_Algo,Best_Baseline_Score,TSPulse_ZS,Diff_vs_Baseline
026_NAB_id_26_Traffic_tr_624_1st_2261.csv,MOMENT (ZS),0.3849115702574599,0.0,0.0
302_Power_id_1_Facility_tr_7685_1st_7785.csv,KMeansAD,0.392133590197686,0.0,0.0
286_CATSv2_id_1_Sensor_tr_17792_1st_17892.csv,USAD,0.4026696997484271,0.0,0.0
117_WSD_id_89_WebService_tr_3251_1st_3351.csv,POLY,0.4112856434254001,0.0,0.0
018_NAB_id_18_Facility_tr_500_1st_669.csv,KShapeAD,0.4206056721993585,0.0,0.0
019_NAB_id_19_Facility_tr_1007_1st_1171.csv,Sub-MCD,0.4382565658842425,0.0,0.0
169_Daphnet_id_1_HumanActivity_tr_9693_1st_20732.csv,MOMENT (ZS),0.5195850466724389,0.0,0.0
173_MITDB_id_4_Medical_tr_13620_1st_13720.csv,KShapeAD,0.5640017925469981,0.0,0.0
001_NAB_id_1_Facility_tr_1007_1st_2014.csv,MOMENT (FT),0.5736119643477883,0.0,0.0
014_NAB_id_14_WebService_tr_500_1st_1045.csv,Sub-MCD,0.5790752040922689,0.0,0.0
099_WSD_id_71_WebService_tr_4559_1st_14411.csv,POLY,0.5943131271311933,0.0,0.0
043_WSD_id_15_WebService_tr_4521_1st_6828.csv,AutoEncoder,0.6080966796089448,0.0,0.0
855_OPPORTUNITY_id_14_HumanActivity_tr_808_1st_908.csv,USAD,0.617325246367238,0.0,0.0
002_NAB_id_2_WebService_tr_1500_1st_4106.csv,POLY,0.6259498149866337,0.0,0.0
137_WSD_id_109_WebService_tr_4559_1st_14404.csv,MOMENT (FT),0.6415706151221775,0.0,0.0
027_NAB_id_27_Facility_tr_757_1st_2582.csv,POLY,0.6784803541066893,0.0,0.0
125_WSD_id_97_WebService_tr_2217_1st_2317.csv,POLY,0.6785214374541638,0.0,0.0
550_SWaT_id_1_Sensor_tr_43700_1st_43800.csv,CNN,0.68176915281637,0.0,0.0
023_NAB_id_23_Facility_tr_4512_1st_16551.csv,AutoEncoder,0.6900719491510368,0.0,0.0
175_MITDB_id_6_Medical_tr_27274_1st_27374.csv,Sub-KNN,0.7082150794648131,0.0,0.0
139_WSD_id_111_WebService_tr_1701_1st_1801.csv,CNN,0.7089407451531597,0.0,0.0
130_WSD_id_102_WebService_tr_2362_1st_2462.csv,POLY,0.7220829017560688,0.0,0.0
054_WSD_id_26_WebService_tr_2409_1st_2509.csv,MOMENT (FT),0.733363494853698,0.0,0.0
848_OPPORTUNITY_id_7_HumanActivity_tr_1477_1st_1577.csv,Sub-PCA,0.7350305951887758,0.0,0.0
058_WSD_id_30_WebService_tr_1136_1st_1236.csv,POLY,0.7365333116612451,0.0,0.0
022_NAB_id_22_Facility_tr_1007_1st_2980.csv,MOMENT (ZS),0.7366033089590095,0.0,0.0
172_MITDB_id_3_Medical_tr_27274_1st_27374.csv,MatrixProfile,0.7391017847915079,0.0,0.0
851_OPPORTUNITY_id_10_HumanActivity_tr_6213_1st_7311.csv,Sub-MCD,0.7486377006183311,0.0,0.0
009_NAB_id_9_Traffic_tr_500_1st_438.csv,POLY,0.7511137903330025,0.0,0.0
094_WSD_id_66_WebService_tr_3309_1st_3914.csv,MOMENT (FT),0.7644936983753546,0.0,0.0
060_WSD_id_32_WebService_tr_4576_1st_4766.csv,POLY,0.7732967255839862,0.0,0.0
282_NEK_id_6_WebService_tr_500_1st_64.csv,OmniAnomaly,0.7740793072230434,0.0,0.0
032_WSD_id_4_WebService_tr_4559_1st_11822.csv,POLY,0.7947125735469623,0.0,0.0
039_WSD_id_11_WebService_tr_1746_1st_1846.csv,MOMENT (FT),0.8036037714994859,0.0,0.0
008_NAB_id_8_Synthetic_tr_1007_1st_2734.csv,USAD,0.83153604537042,0.0,0.0
006_NAB_id_6_Traffic_tr_2579_1st_5839.csv,KShapeAD,0.8405981274496447,0.0,0.0
074_WSD_id_46_WebService_tr_990_1st_1090.csv,Series2Graph,0.8655641743404249,0.0,0.0
013_NAB_id_13_Traffic_tr_623_1st_2084.csv,SAND,0.8770339015302475,0.0,0.0
170_MITDB_id_1_Medical_tr_17675_1st_17775.csv,KShapeAD,0.8781462254057208,0.0,0.0
017_NAB_id_17_Synthetic_tr_1007_1st_1805.csv,POLY,0.8784963455516464,0.0,0.0
106_WSD_id_78_WebService_tr_3363_1st_3463.csv,MOMENT (FT),0.8881524721458884,0.0,0.0
278_NEK_id_2_WebService_tr_500_1st_64.csv,Sub-PCA,0.8911485558475744,0.0,0.0
113_WSD_id_85_WebService_tr_500_1st_335.csv,TimesNet,0.9154909655675474,0.0,0.0
089_WSD_id_61_WebService_tr_1010_1st_1110.csv,CNN,0.92055551820949,0.0,0.0
040_WSD_id_12_WebService_tr_4559_1st_9714.csv,KShapeAD,0.928110255828226,0.0,0.0
011_NAB_id_11_Facility_tr_1007_1st_1526.csv,POLY,0.9300359177850356,0.0,0.0
868_OPPORTUNITY_id_27_HumanActivity_tr_2085_1st_2185.csv,Sub-PCA,0.930707281230735,0.0,0.0
171_MITDB_id_2_Medical_tr_50000_1st_88864.csv,KShapeAD,0.93464961005103,0.0,0.0
859_OPPORTUNITY_id_18_HumanActivity_tr_895_1st_995.csv,Sub-PCA,0.9353296156830124,0.0,0.0
177_MITDB_id_8_Medical_tr_17675_1st_17775.csv,KShapeAD,0.9380796437981064,0.0,0.0
857_OPPORTUNITY_id_16_HumanActivity_tr_500_1st_566.csv,Sub-PCA,0.9388404830102266,0.0,0.0
847_OPPORTUNITY_id_6_HumanActivity_tr_808_1st_908.csv,Sub-PCA,0.943472506329662,0.0,0.0
