file,Dataset,Best_Algo,Best_Score,Oracle,TSPulse2,TSPulse2Triangulation,TSPulse2_llm_selection_ablated_ensemble,TSPulse2_llm_selection_ablated_fft,TSPulse2_llm_selection_ablated_forecast,TSPulse2_llm_selection_ablated_time,TSPulseFT,TSPulseZS
001_Genesis_id_1_Sensor_tr_4055_1st_15538,Genesis,TSPulse2,0.0309392882725309,0.007344291882168,0.0309392882725309,0.007344291882168,0.0067127181025594,0.0069085272851481,0.0043398509403379,0.007344291882168,0.02,0.0099339099912006
002_MSL_id_1_Sensor_tr_500_1st_900,MSL,TSPulse2,0.792273490738436,0.792273490738436,0.792273490738436,0.5811829122920101,0.6029848110307876,0.5762656607842552,0.792273490738436,0.5811829122920101,0.21,0.102336619749555
003_MSL_id_2_Sensor_tr_883_1st_1238,MSL,TSPulse2,0.933494813043684,0.933494813043684,0.933494813043684,0.9231988043494836,0.933494813043684,0.931741617842658,0.2396958194292074,0.9231988043494836,0.21,0.1169645678147904
005_MSL_id_4_Sensor_tr_855_1st_2700,MSL,TSPulseFT,0.21,0.1174996998035531,0.1174996998035531,0.1174996998035531,0.115686096265039,0.1133597038788502,0.092644205395925,0.1174996998035531,0.21,0.1196086228799149
006_MSL_id_5_Sensor_tr_1150_1st_1250,MSL,TSPulseFT,0.21,0.1344520271525273,0.1344520271525273,0.1077723494987902,0.1060048323505253,0.1101010380705249,0.1344520271525273,0.1077723494987902,0.21,0.0520146528029896
007_MSL_id_6_Sensor_tr_980_1st_3550,MSL,TSPulse2_llm_selection_ablated_time,0.9766562742619926,0.9766562742619926,0.975573280622735,0.9766562742619926,0.975573280622735,0.9734985936453204,0.4985742456243781,0.9766562742619926,0.21,0.0389597709490333
008_MSL_id_7_Sensor_tr_656_1st_1630,MSL,TSPulse2,0.8274354538558842,0.8274354538558842,0.8274354538558842,0.8230873762123426,0.8274354538558842,0.8185766627391745,0.7964306545910922,0.8230873762123426,0.21,0.0681141882306601
009_MSL_id_8_Sensor_tr_714_1st_1390,MSL,TSPulse2_llm_selection_ablated_forecast,0.7728054360936302,0.7728054360936302,0.5728959870869116,0.5728959870869116,0.6008432411654279,0.6244713057061663,0.7728054360936302,0.5728959870869116,0.21,0.0064224903846355
010_MSL_id_9_Sensor_tr_554_1st_1172,MSL,TSPulseFT,0.21,0.1110184048358639,0.0473386971882462,0.1110184048358639,0.1063803549569559,0.0817793309891825,0.0473386971882462,0.1110184048358639,0.21,0.0300715690661381
012_MSL_id_11_Sensor_tr_539_1st_940,MSL,TSPulse2_llm_selection_ablated_time,0.9316311766301192,0.9316311766301192,0.7059763675057851,0.9316311766301192,0.92440123632913,0.921066759613372,0.7059763675057851,0.9316311766301192,0.21,0.0669318756939082
013_MSL_id_12_Sensor_tr_554_1st_1200,MSL,TSPulse2_llm_selection_ablated_ensemble,0.7450173069891908,0.7450173069891908,0.5717390489084774,0.7321926436196924,0.7450173069891908,0.7373094208227818,0.5717390489084774,0.7321926436196924,0.21,0.0928278351825553
