parent,group,S2_strategy_or_channel,S2_VUS-PR,S2_ensemble,S2_fft,S2_forecast,S2_time,S2B_strategy_or_channel,S2B_VUS-PR,S2B_ensemble,S2B_fft,S2B_forecast,S2B_time
004_MSL_id_3_Sensor_tr_530_1st_630.csv,MSL,Best Channel (0),0.4245539804109709,0.4508387163836072,0.4542954364910044,0.2922412349722822,0.5008405337969901,Best Channel (0),0.4398112910881748,0.4508387163836072,0.4542954364910044,0.2922412349722822,0.5008405337969901
011_MSL_id_10_Sensor_tr_1525_1st_4590.csv,MSL,Best Channel (0),0.9002818714309754,0.9730579533318656,0.9772523613213704,0.6766728305226807,0.974144340547985,Best Channel (0),0.9156759694090544,0.9730579533318656,0.9772523613213704,0.6766728305226807,0.974144340547985
023_MITDB_id_5_Medical_tr_25000_1st_36913.csv,MITDB,Best Channel (V1),0.039262676876973074,0.0495816139940848,0.0513317463068581,0.0068040545418638,0.0493332926650856,Best Channel (V1),0.04167649076295008,0.0495816139940848,0.0513317463068581,0.0068040545418638,0.0493332926650856
028_MITDB_id_10_Medical_tr_37500_1st_39948.csv,MITDB,Best Channel (V1),0.028201714270597998,0.0411731282142003,0.0313208661292582,0.0077354398901845,0.032577422848749,Best Channel (V1),0.03079599705931846,0.0411731282142003,0.0313208661292582,0.0077354398901845,0.032577422848749
040_GHL_id_9_Sensor_tr_50000_1st_92001.csv,GHL,Best Channel (dL-rand),0.022213231652385302,0.0248318746688737,0.024148496083457,0.0146649838689983,0.0252075719882122,Best Channel (dL-rand),0.022812099719550682,0.0248318746688737,0.024148496083457,0.0146649838689983,0.0252075719882122
049_GHL_id_18_Sensor_tr_50000_1st_109001.csv,GHL,Best Channel (dL-rand),0.09405632345623433,0.0840186762651838,0.1080285130320422,0.0991263405919803,0.085051763935731,Best Channel (dL-rand),0.0968507613713959,0.0840186762651838,0.1080285130320422,0.0991263405919803,0.085051763935731
062_SMD_id_6_Facility_tr_7180_1st_15131.csv,SMD,Best Channel (11),0.6775447594243732,0.734788570320555,0.7127007338641703,0.5586005382093157,0.7040891953034518,Best Channel (11),0.6889935216036095,0.734788570320555,0.7127007338641703,0.5586005382093157,0.7040891953034518
072_SMD_id_16_Facility_tr_7119_1st_15849.csv,SMD,Best Channel (11),0.6533258214440156,0.7441291110984506,0.7455837811306276,0.4013985330848251,0.7221918604621594,Best Channel (11),0.671777413381338,0.7441291110984506,0.7455837811306276,0.4013985330848251,0.7221918604621594
082_LTDB_id_4_Medical_tr_4456_1st_4556.csv,LTDB,Best Channel (ECG1),0.3237870012386931,0.3437466724051365,0.3648421190582308,0.2247649146358915,0.3617942988555137,Best Channel (ECG1),0.3319980248026006,0.3437466724051365,0.3648421190582308,0.2247649146358915,0.3617942988555137
090_SVDB_id_7_Medical_tr_12157_1st_12257.csv,SVDB,Best Channel (ECG1),0.0892806541152816,0.0672581416668291,0.0833109017342508,0.072806098038885,0.1337474750211615,Best Channel (ECG2),0.38825773727126034,0.4400023565941879,0.5053645822326358,0.0807109411811457,0.4098462241156964
107_SVDB_id_24_Medical_tr_32805_1st_32905.csv,SVDB,Best Channel (ECG1),0.07913973498888566,0.0913582834973818,0.0895624243125869,0.0438114986099741,0.0918267335355998,Best Channel (ECG2),0.04488179860809222,0.0438793611743194,0.0441973956973244,0.0459080126575331,0.0445162108537511
113_SVDB_id_30_Medical_tr_4552_1st_4652.csv,SVDB,Best Channel (ECG1),0.5180535736719183,0.5852992773249753,0.7173371289849304,0.0694059296347561,0.7001719587430115,Best Channel (ECG2),0.30226670533937894,0.227142358512372,0.3995833748404692,0.0724234421531659,0.4060921755954438
120_TAO_id_5_Environment_tr_500_1st_3.csv,TAO,Best Channel (col-0),0.9800949416973717,0.9797014609429652,0.97090487983998,0.9989319804598412,0.9708414455467008,Best Channel (col-0),0.9838623494498657,0.9797014609429652,0.97090487983998,0.9989319804598412,0.9708414455467008
126_TAO_id_11_Environment_tr_500_1st_7.csv,TAO,Best Channel (col-0),0.9800074177334052,0.9796145505944452,0.971137276455191,0.9980982285934038,0.9711796152905804,Best Channel (col-0),0.9836255799054049,0.9796145505944452,0.971137276455191,0.9980982285934038,0.9711796152905804
