Dataset,Best_TSPulse_Output
Exathlon,Headfft
IOPS,Headtime
LTDB,Headfft
MGAB,Headfuture
MITDB,Headensemble
MSL,Headtime
NAB,Headensemble
NEK,Headensemble
OPPORTUNITY,Headensemble
SED,Headfuture
SMAP,Headtime
SMD,Headfft
SVDB,Headfft
Stock,Headfuture
TAO,Headfuture
TODS,Headtime
UCR,Headtime
WSD,Headensemble
YAHOO,Headfuture
